,Texts,SWN Analysis,Emotions
1343,请问靠近perpustakaan 的 print cube 有没有开啊，有的话通常一个星期开几天 几点开到几点？ 谢谢,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1344,"Hi all, want to ask did you guys get ur ptptn d? If no, do anyone know when is the date?",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
1345,Frog You!,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1346,"Hi all, wanna ask can I used my RT-PCR test result to enter the campus? Cause I do not dare to take the nasal test in DUP due to safety concerns. Thank you in advance.",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.4, 'Fear': 0.6}"
1348,"Eng campus session with M*P by P*SL IS A JOKE! Emcee P*SL ask us whether we got question, give 1 second, then terus end the majlis. Are you trying to protect student or inefficient student body?",Negative,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.67}"
1349,超级反感event，整天meeting到脱发。没力了啦，我可以死去了，event后才回来吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1350,买Ipad学习真的能提升效率吗？小子我最近看中了Ipad 第9代.. 欢迎各位买过Ipad的senior们分享你们用后感。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1351,回复 #USMCFS29114,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1352,让我在这里发泄一下！,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1353,华人社团是怎么做到表面大家表面上好像跟好朋友一样，但私下很多勾心斗角，互相踩踏？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1355,想起来之前y1在confession看到有筹委说参加event的人不知道筹备这个event的辛苦，心酸（指O*）且参加且珍惜。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1356,女生需要准备baju kurung 吗？如果需要，有没有指定的颜色？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1357,"As usual, we must know the rule and regulations before we started playing game. But there’s always some school who didn’t plan and tell their student about the coursework mark distribution and how does the final ecam plan to conduct, always like to wait until last minute to announce everything.",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.12, 'Sad': 0.5, 'Fear': 0.38}"
1358,每当我看到网络上有什么文章/影片写“男孩”，“女孩”时我都觉得很无言,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1360,Orientation felt different without everyone here. How good will it feel if it's a day of no c*vid like 3 years ago,Positive,"{'Happy': 0.67, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.0}"
1361,Why Health campus is in kelantan I hope USM consider to combine both campus together so I can catch future doctor/dentist for me hehehehehe,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
1362,"To juniors,",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1364,大家好，我得到了奖学金，想cancel PTPTN。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1366,"To usm chinese man student, you guys mind if your chinese partner is a banana, can understand but hard to speak n also kennot read",Negative,"{'Happy': 0.0, 'Angry': 0.25, 'Surprise': 0.25, 'Sad': 0.0, 'Fear': 0.5}"
1367,#USMCFS29142,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1368,"Hye everyone, since halloooowweeeennn is nearer, can yall tell stories of yours dealing with ghost or anyone's stories that you heard especially regarding ghost at usm ≧ω≦ i love ghost stories and i would like to read yours! do share pwease (｡’▽’｡)♡",Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.25, 'Fear': 0.25}"
1369,理性看待这件事,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1370,離開家裡的第二天，一个人在房間的我有點想家和害怕，剛才在廁所偷偷的哭了，雖然周圍房間都有人，但想要找個人談談心都沒有。可能這是每個大學生都要必經的過程，原來在家裡是那麼的好好想抱抱爸爸妈妈,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1373,"有女生要一起在usm附近合租吗？急找。可以留言 我会马上pm你 *只限女生哦！,或者有谁在招室友的也可留言",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1374,"wonder who was the one implementing the rules saying once masuk desa then cannot go out for 3 days…  defeats the purpose seeing others (ie students who came earlier, PPSL, staff, whoever else staying on campus) going out anyway. What’s the purpose of these 3 days? Can go interstate and travel abroad now but usm still want us to stay in hostel for 3 days first? xD",Positive,"{'Happy': 0.3, 'Angry': 0.2, 'Surprise': 0.4, 'Sad': 0.0, 'Fear': 0.1}"
1375,Now that TI is over. I felt empty,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1376,"After joining an event, I realize the people around are so fake, if you be the person who brave to speak up, then you will be the target and they will tell you this is immature, actually what I want to say is the person who need to think clearly are you all, when is it a mistake to be brave to speak out??  在每个人都虚伪，都在委屈求全，都在配合的世界里，这样的人越来越少了，看见又有一个人要被你们洗脑，要变成和你们一样的人，只能说很可惜。 我也没有勇气为你说话，可是希望你看了或任何一个也把自己想法勇敢说出来的人看了，会知道你说出来是没有错的。错的是把自己想法强加予你的他们。这种现象不应该人传人，希望大的能发现这个问题，… See More",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.2, 'Fear': 0.5}"
1377,"如果得不到kok, rayuan时 (1/11)可以 daftar wsu101 吗？可是它第二星期开课了..@@",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1379,迎新特活 是不是只有 year1 可以参加？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1380,"有些人渴望individual assignment, 有些人渴望group assignment, 这就是自立与依赖性的差别。",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1381,Hello Seniors.,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1382,Boyfriend kau HANDSOME?,Neutral,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
1383,请问除了上课还有去办公室那些rasmi的场合之外 运动or在食堂女生可以穿膝盖以上的短裤吗 还是是像matrik一样很严的,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1385,"Why interstate travel is allowed but university students are not allowed to return home?? All university students on campus are fully vaccinated. Don’t KPT & uni authorities believe the effectiveness of vaccine? This pandemic is turning into endemic soon. We should learn to live together with c****-19 but not restrict this restrict that. Restriction is not a good solution in the long run. University students are adults, they should take care of themselves n the… See More",Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.5}"
1386,Yess senpai,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1387,.,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1389,"HAHAHAHWHWHWHW lucu . Im a new intake student and im not saying I've got a charming look but , can lah. The second i step in usm, seniors are started following me on ig and asking for my number. Foya2 ? I think we all do that. Plus i hate to say this but senior and junior just the same coz all human and all desperate . Clean , don't come to confession to complain coz some student ignore ur urge to find a partner.",Negative,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.3, 'Sad': 0.2, 'Fear': 0.3}"
1390,"I need a friend who has a car in main campus to travel during weekends. I will pay for the petrol fees and even plan the journey. Just need someone to drive me to this places. No strings attached, just friendship and I will be ur casual talking budy. So any introverts or ambiverts out there who has a car and wanna go places but no one to acompany you. Comment below. Lets go on journeys together. Im a female postgrad student by the way.",Positive,"{'Happy': 0.22, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.44}"
1391,Reply #usmcfs29215 admin botak evolve into admin Obama,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
1392,Admin botak is not happy,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
1393,Yaya I know toxic yayya hmhm yalo duiduiduiduidui haiz like that de la haiya hmmmhmm,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1395,Anyone know how to connect USM secure (WiFi) ? I changed my phone but can't connect to usm WiFi. Thanks in advance!,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
1397,"*Hope admins can approve this post*,สวัสดีครับทุกคน … See More",Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}"
1399,Heyyy SeniorsCan recommend some clubs or events to join?thanks in advance,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1408,"I'm a banana who joined in one of the clubs in pb*, I'm kinda disappointed as they say they will slowly guide you, but when it comes to chit chat or even choosing committee, they would just ignore you and talk with those they know",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.25, 'Fear': 0.25}"
1410,"Confessions related to: Co-curriculum & U-course suggestions/ problems,1)不好意思问下有什么kk推荐的吗？… See More",Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1415,"I'm in second year of a packaged ko-k course, actually who should I contact to drop the packaged course? I've already emailed, called and sent letter thru email. Really frustrating when got no reply from ko-k",Positive,"{'Happy': 0.0, 'Angry': 0.25, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.25}"
1416,You know why do some people will never improve? Because they like to copy and paste.,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1418,"Hi #USMCFS29230,",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1420,"Just enter usm campus recently, where can I fix my laptop around or inside usm?",Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1421,Tell you an unwelcome but true fact.,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1422,"hello, anyone can share sample appeal letter for lsp and lkm?",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1426,Hi abang2 and kakak2 usm... family mart kt jalan sungai dua bukak dh ke???....tak syabarnya nak pergi... Kalau sapa2 tau tlg bagi tau eh,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1428,Fml several important clubs for future connections need to pay. Fortunately not too expensive lol,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
1437,Some people really like to make things confusing.. Simple task turned into massive problems and headaches.,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.38, 'Sad': 0.12, 'Fear': 0.5}"
1439,"I don't understand why group work exist when everytime the lecturer tell groupwork people start make their own team and me have to get grouped with some of lazy and non- responsive students. I really hate this. I really hate group work. So to my dear student who have read this, please contribute your work in group work. Don't simply depend on others. Its something important to all of us. PLEASE GIVE CONTRIBUTION!!!!",Positive,"{'Happy': 0.05, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.29}"
1440,"help to isi survey for assignment,https://docs.google.com/.../1FAIpQLSeE7k8bF5Q.../viewform...",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
1441,Helo everyone can i know wether theres a parttime job in area usm that i can apply,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
1442,Halloween is coming!,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1443,"please to fill this form， for assignment,https://docs.google.com/.../1FAIpQLSeE7k8bF5Q.../viewform...",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
1444,What are some groups that CS students can join? On and off USM group can recommend here,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
1446,"Hi everyone! Dekat USM ada perkhidmatan delivery parcel sampai ke desa tak? Eventhough the parcel is quite a big and heavy.,I'm very glad if you could help me. Thanks!",Negative,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
1449,"Good evening ladies and gentlemen,,Anyone from SEU332 behavioural economics need group member? U can drop a message below and I will dm u.… See more",Positive,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.33}"
1450,ko tukar la sikit2,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1451,"Confessions related to: WUS 101,1) 想请问wsu101 这个学期是线上教学吗？ 因为credit不够 (y1s1) , school建议拿这个ko-k… See more",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
1455,How and where do I find info for student exchange programme for CS students?,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1456,"Hello, all.",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1458,"Caveat: The confession below may arouse uneasiness and unrest among certain communities. Your careful discretion is needed.,Comparing Chinese from the older generations (now they are at least in their 30s), they are more capable at withstanding stress and more flexible in their thinking and way of solving problems. They are not afraid of encountering and solving problems, and are more enduring than the current generations of Chinese (Born after the year 1990). … See more",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.08, 'Sad': 0.23, 'Fear': 0.69}"
1459,"The balcony roof of SH5 of # floor is literally a big cat litter box. Yall keep seeing USM posting cute stray cats in the campus and think its fun until you experience the cats literally shitting all over the place at the hostel. Imagine the first thing in the morning when you open your door is the stench of cat shit. The room is hot as hell and I just wanna open the door to help with air circulation but as soon as you open the door, the stench just is unbearable.",Negative,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.44, 'Sad': 0.11, 'Fear': 0.33}"
1460,"Confessions related to buy/sell books:,1) Hello any junior wanna buy MAT100 sussana book? Kindly leave a pm in the comment… See more",Negative,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
1464,Is there anyone who minor in LLJ 100 from Group 2 in this sem? I want to make group chat but don't know where everyone is,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.67, 'Sad': 0.33, 'Fear': 0.0}"
1468,"to that kid who ""YERRR"" when I said I'm not from fine art in Art Appreciation call",Positive,"{'Happy': 0.67, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.0}"
1470,just a philosophical submission,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1471,how can i mute/hide some keywords like 'thank you' n 'noted' in telegram/whatsapp ah?,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1479,"From new intake blur2 junior....,Can any senior explain why got two Chinese club? One is skkt and another one is persatuan bahasa Tiong Hua....I'm so confused ( I keep on thinking skkt is under Tiong Hua or Tiong Hua is under skkt reversibly haha sorry my dear senior)",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.25, 'Fear': 0.25}"
1480,This pair shine brighter then the main couple honestly,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
1483,"Confession:,Dear juniors,… See more",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
1490,"If I register the course on e-daftar, but the course have prerequisite course that I haven't take, will my result being banned or failed? or just nothing happen",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1497,I don't think it is good that a lecturer or an educator to biased towards certain students. It is unfair to the other students. Bye.,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.25}"
1498,Still in the holiday mood. Don't feel like sem started yet  need motivation badly,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
1499,i did not apply for dorm..... If i wanna go back what should i do?  Thank u for the reply in advance,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
